shigeaki@sirius:~/放送大学/熱ゼミ2023$ python explicit_ChatGPT.py 
Time step 0: [ 0. 10. 20. 20. 20. 20.]
Time step 1: [ 0. 10. 15. 20. 20. 20.]
Time step 2: [ 0.   7.5 15.  17.5 20.  20. ]
Time step 3: [ 0.    7.5  12.5  17.5  18.75 20.  ]
Time step 4: [ 0.     6.25  12.5   15.625 18.75  20.   ]
Time step 5: [ 0.      6.25   10.9375 15.625  17.8125 20.    ]
Time step 6: [ 0.       5.46875 10.9375  14.375   17.8125  20.     ]
Time step 7: [ 0.        5.46875   9.921875 14.375    17.1875   20.      ]
Time step 8: [ 0.         4.9609375  9.921875  13.5546875 17.1875    20.       ]
Time step 9: [ 0.          4.9609375   9.2578125  13.5546875  16.77734375 20.        ]
Time step 10: [ 0.          4.62890625  9.2578125  13.01757812 16.77734375 20.        ]
Time step 11: [ 0.          4.62890625  8.82324219 13.01757812 16.50878906 20.        ]
Time step 12: [ 0.          4.41162109  8.82324219 12.66601562 16.50878906 20.        ]
Time step 13: [ 0.          4.41162109  8.53881836 12.66601562 16.33300781 20.        ]
Time step 14: [ 0.          4.26940918  8.53881836 12.43591309 16.33300781 20.        ]
Time step 15: [ 0.          4.26940918  8.35266113 12.43591309 16.21795654 20.        ]
Time step 16: [ 0.          4.17633057  8.35266113 12.28530884 16.21795654 20.        ]
Time step 17: [ 0.          4.17633057  8.2308197  12.28530884 16.14265442 20.        ]
Time step 18: [ 0.          4.11540985  8.2308197  12.18673706 16.14265442 20.        ]
Time step 19: [ 0.          4.11540985  8.15107346 12.18673706 16.09336853 20.        ]
Time step 20: [ 0.          4.07553673  8.15107346 12.12222099 16.09336853 20.        ]
Time step 21: [ 0.          4.07553673  8.09887886 12.12222099 16.0611105  20.        ]
Time step 22: [ 0.          4.04943943  8.09887886 12.07999468 16.0611105  20.        ]
Time step 23: [ 0.          4.04943943  8.06471705 12.07999468 16.03999734 20.        ]
Time step 24: [ 0.          4.03235853  8.06471705 12.0523572  16.03999734 20.        ]
Time step 25: [ 0.          4.03235853  8.04235786 12.0523572  16.0261786  20.        ]
Time step 26: [ 0.          4.02117893  8.04235786 12.03426823 16.0261786  20.        ]
Time step 27: [ 0.          4.02117893  8.02772358 12.03426823 16.01713412 20.        ]
Time step 28: [ 0.          4.01386179  8.02772358 12.02242885 16.01713412 20.        ]
Time step 29: [ 0.          4.01386179  8.01814532 12.02242885 16.01121442 20.        ]
Time step 30: [ 0.          4.00907266  8.01814532 12.01467987 16.01121442 20.        ]
Time step 31: [ 0.          4.00907266  8.01187627 12.01467987 16.00733994 20.        ]
Time step 32: [ 0.          4.00593813  8.01187627 12.0096081  16.00733994 20.        ]
Time step 33: [ 0.          4.00593813  8.00777312 12.0096081  16.00480405 20.        ]
Time step 34: [ 0.          4.00388656  8.00777312 12.00628858 16.00480405 20.        ]
Time step 35: [ 0.          4.00388656  8.00508757 12.00628858 16.00314429 20.        ]
Time step 36: [ 0.          4.00254379  8.00508757 12.00411593 16.00314429 20.        ]
Time step 37: [ 0.          4.00254379  8.00332986 12.00411593 16.00205797 20.        ]
Time step 38: [ 0.          4.00166493  8.00332986 12.00269391 16.00205797 20.        ]
Time step 39: [ 0.          4.00166493  8.00217942 12.00269391 16.00134696 20.        ]
Time step 40: [ 0.          4.00108971  8.00217942 12.00176319 16.00134696 20.        ]
Time step 41: [ 0.          4.00108971  8.00142645 12.00176319 16.00088159 20.        ]
Time step 42: [ 0.          4.00071322  8.00142645 12.00115402 16.00088159 20.        ]
Time step 43: [ 0.          4.00071322  8.00093362 12.00115402 16.00057701 20.        ]
Time step 44: [ 0.          4.00046681  8.00093362 12.00075532 16.00057701 20.        ]
Time step 45: [ 0.          4.00046681  8.00061106 12.00075532 16.00037766 20.        ]
Time step 46: [ 0.          4.00030553  8.00061106 12.00049436 16.00037766 20.        ]
Time step 47: [ 0.          4.00030553  8.00039995 12.00049436 16.00024718 20.        ]
Time step 48: [ 0.          4.00019997  8.00039995 12.00032356 16.00024718 20.        ]
Time step 49: [ 0.          4.00019997  8.00026177 12.00032356 16.00016178 20.        ]
Time step 50: [ 0.          4.00013088  8.00026177 12.00021178 16.00016178 20.        ]
Time step 51: [ 0.          4.00013088  8.00017133 12.00021178 16.00010589 20.        ]
Time step 52: [ 0.          4.00008566  8.00017133 12.00013861 16.00010589 20.        ]
Time step 53: [ 0.          4.00008566  8.00011214 12.00013861 16.0000693  20.        ]
Time step 54: [ 0.          4.00005607  8.00011214 12.00009072 16.0000693  20.        ]
